Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
Multi 3620 IDS; 22490970;4;09.08.2024 10:42:57;17,6;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:02;6,2;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:07;2,9;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:12;1,9;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:17;1,6;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:22;1,5;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:27;1,4;µS/cm;Cond;-0,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:32;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:37;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:42;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:47;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:52;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:43:57;1,4;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:02;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:07;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:12;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:17;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:22;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:27;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:32;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:37;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:42;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 10:44:47;1,3;µS/cm;Cond;-0,0;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:05;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:10;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:15;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:25;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:30;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:35;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:40;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:45;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:50;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:40:55;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:00;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:05;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:10;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:15;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:25;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:30;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:35;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:40;3,3;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:45;19,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:50;45,3;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:41:55;46,0;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:00;31,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:05;19,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:10;12,8;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:15;8,0;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:20;5,4;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:25;3,8;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:30;2,9;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:35;2,4;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:40;2,1;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:45;1,9;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:50;1,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:42:55;1,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:00;1,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:05;1,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:10;1,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:15;1,5;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:25;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:30;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:35;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:40;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:45;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:50;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:43:55;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:44:00;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 11:44:05;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:16:35;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:16:40;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:16:45;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:16:50;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:16:55;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:00;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:05;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:10;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:15;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:20;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:25;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:30;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:35;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:40;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:45;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:50;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:17:55;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:00;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:05;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:10;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:15;1,4;µS/cm;Cond;-0,1;°C;Temp;AR;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:20;1,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:25;1,8;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:30;2,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:35;4,0;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:40;6,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:45;9,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:50;13,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:18:55;18,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:00;21,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:05;24,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:10;26,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:15;26,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:20;25,9;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:25;24,3;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:30;22,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:35;19,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:40;17,1;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:45;14,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:50;12,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:19:55;10,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:00;8,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:05;7,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:10;6,4;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:15;5,4;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:20;4,7;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:25;4,1;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:30;3,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:35;3,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:40;2,9;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:45;2,6;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:50;2,5;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:20:55;2,3;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:21:00;2,2;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:21:05;2,1;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;4;09.08.2024 14:21:10;2,0;µS/cm;Cond;-0,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
